"country_name","country_text_id","year","v2x_polyarchy","e_boix_regime","e_migdppc","e_regionpol_6C"
"Afghanistan","AFG",2010,0.361,0,1685,"Asia and Pacific"
"Angola","AGO",2010,0.315,0,6408,"Sub-Saharan Africa"
"Albania","ALB",2010,0.584,1,9324,"Eastern Europe and Central Asia"
"United Arab Emirates","ARE",2010,0.068,0,58565,"Middle East and Northern Africa"
"Argentina","ARG",2010,0.754,1,18660,"Latin America and the Caribbean"
"Armenia","ARM",2010,0.34,0,7642,"Eastern Europe and Central Asia"
"Australia","AUS",2010,0.917,1,45398,"Western Europe and North America"
"Austria","AUT",2010,0.873,1,40500,"Western Europe and North America"
"Azerbaijan","AZE",2010,0.208,0,12866,"Eastern Europe and Central Asia"
"Burundi","BDI",2010,0.374,1,743,"Sub-Saharan Africa"
"Belgium","BEL",2010,0.901,1,38592,"Western Europe and North America"
"Benin","BEN",2010,0.713,1,1864,"Sub-Saharan Africa"
"Burkina Faso","BFA",2010,0.584,0,1328,"Sub-Saharan Africa"
"Bangladesh","BGD",2010,0.508,1,2421,"Asia and Pacific"
"Bulgaria","BGR",2010,0.71,1,14971,"Eastern Europe and Central Asia"
"Bahrain","BHR",2010,0.239,0,37062,"Middle East and Northern Africa"
"Bosnia and Herzegovina","BIH",2010,0.629,1,8646,"Eastern Europe and Central Asia"
"Belarus","BLR",2010,0.229,0,16016,"Eastern Europe and Central Asia"
"Bolivia","BOL",2010,0.731,1,4805,"Latin America and the Caribbean"
"Brazil","BRA",2010,0.879,1,13418,"Latin America and the Caribbean"
"Barbados","BRB",2010,0.788,1,14452,"Latin America and the Caribbean"
"Bhutan","BTN",2010,0.527,0,NA,"Asia and Pacific"
"Botswana","BWA",2010,0.69,1,12188,"Sub-Saharan Africa"
"Central African Republic","CAF",2010,0.338,0,866,"Sub-Saharan Africa"
"Canada","CAN",2010,0.861,1,40618,"Western Europe and North America"
"Switzerland","CHE",2010,0.909,1,54377,"Western Europe and North America"
"Chile","CHL",2010,0.881,1,18075,"Latin America and the Caribbean"
"China","CHN",2010,0.108,0,9475,"Asia and Pacific"
"Ivory Coast","CIV",2010,0.45,0,2608,"Sub-Saharan Africa"
"Cameroon","CMR",2010,0.349,0,2422,"Sub-Saharan Africa"
"Democratic Republic of the Congo","COD",2010,0.352,0,647,"Sub-Saharan Africa"
"Republic of the Congo","COG",2010,0.283,0,5097,"Sub-Saharan Africa"
"Colombia","COL",2010,0.572,1,10618,"Latin America and the Caribbean"
"Comoros","COM",2010,0.504,1,1437,"Sub-Saharan Africa"
"Cape Verde","CPV",2010,0.816,1,5917,"Sub-Saharan Africa"
"Costa Rica","CRI",2010,0.923,1,11989,"Latin America and the Caribbean"
"Cuba","CUB",2010,0.177,0,6697,"Latin America and the Caribbean"
"Cyprus","CYP",2010,0.855,1,29488,"Western Europe and North America"
"Czech Republic","CZE",2010,0.892,1,24494,"Eastern Europe and Central Asia"
"Germany","DEU",2010,0.926,1,41215,"Western Europe and North America"
"Djibouti","DJI",2010,0.259,0,2597,"Sub-Saharan Africa"
"Denmark","DNK",2010,0.91,1,42474,"Western Europe and North America"
"Dominican Republic","DOM",2010,0.665,1,11524,"Latin America and the Caribbean"
"Algeria","DZA",2010,0.333,0,12510,"Middle East and Northern Africa"
"Ecuador","ECU",2010,0.644,1,9111,"Latin America and the Caribbean"
"Egypt","EGY",2010,0.227,0,9578,"Middle East and Northern Africa"
"Eritrea","ERI",2010,0.085,0,NA,"Sub-Saharan Africa"
"Spain","ESP",2010,0.893,1,32160,"Western Europe and North America"
"Estonia","EST",2010,0.877,1,19917,"Eastern Europe and Central Asia"
"Ethiopia","ETH",2010,0.247,0,1049,"Sub-Saharan Africa"
"Finland","FIN",2010,0.898,1,38074,"Western Europe and North America"
"Fiji","FJI",2010,0.137,0,NA,"Asia and Pacific"
"France","FRA",2010,0.917,1,35871,"Western Europe and North America"
"Gabon","GAB",2010,0.379,0,11469,"Sub-Saharan Africa"
"United Kingdom","GBR",2010,0.919,1,35116,"Western Europe and North America"
"Georgia","GEO",2010,0.559,1,8305,"Eastern Europe and Central Asia"
"Ghana","GHA",2010,0.753,1,2682,"Sub-Saharan Africa"
"Guinea","GIN",2010,0.232,0,1219,"Sub-Saharan Africa"
"The Gambia","GMB",2010,0.281,0,1850,"Sub-Saharan Africa"
"Guinea-Bissau","GNB",2010,0.46,0,1324,"Sub-Saharan Africa"
"Equatorial Guinea","GNQ",2010,0.184,0,41759,"Sub-Saharan Africa"
"Greece","GRC",2010,0.878,1,27169,"Western Europe and North America"
"Guatemala","GTM",2010,0.588,1,6323,"Latin America and the Caribbean"
"Guyana","GUY",2010,0.566,1,NA,"Latin America and the Caribbean"
"Hong Kong","HKG",2010,0.372,NA,44857,"Asia and Pacific"
"Honduras","HND",2010,0.432,1,4189,"Latin America and the Caribbean"
"Croatia","HRV",2010,0.832,1,18987,"Eastern Europe and Central Asia"
"Haiti","HTI",2010,0.452,0,1644,"Latin America and the Caribbean"
"Hungary","HUN",2010,0.769,1,20365,"Eastern Europe and Central Asia"
"Indonesia","IDN",2010,0.66,1,7378,"Asia and Pacific"
"India","IND",2010,0.706,1,4353,"Asia and Pacific"
"Ireland","IRL",2010,0.85,1,48910,"Western Europe and North America"
"Iran","IRN",2010,0.163,0,17716,"Middle East and Northern Africa"
"Iraq","IRQ",2010,0.478,0,9426,"Middle East and Northern Africa"
"Iceland","ISL",2010,0.862,1,36515,"Western Europe and North America"
"Israel","ISR",2010,0.725,1,29319,"Middle East and Northern Africa"
"Italy","ITA",2010,0.86,1,34544,"Western Europe and North America"
"Jamaica","JAM",2010,0.781,1,7143,"Latin America and the Caribbean"
"Jordan","JOR",2010,0.241,0,10594,"Middle East and Northern Africa"
"Japan","JPN",2010,0.86,1,35477,"Asia and Pacific"
"Kazakhstan","KAZ",2010,0.256,0,17738,"Eastern Europe and Central Asia"
"Kenya","KEN",2010,0.442,1,2553,"Sub-Saharan Africa"
"Kyrgyzstan","KGZ",2010,0.353,0,3381,"Eastern Europe and Central Asia"
"Cambodia","KHM",2010,0.318,0,2322,"Asia and Pacific"
"South Korea","KOR",2010,0.762,1,32325,"Asia and Pacific"
"Kuwait","KWT",2010,0.323,0,63719,"Middle East and Northern Africa"
"Laos","LAO",2010,0.095,0,3791,"Asia and Pacific"
"Lebanon","LBN",2010,0.495,0,16988,"Middle East and Northern Africa"
"Liberia","LBR",2010,0.667,1,896,"Sub-Saharan Africa"
"Libya","LBY",2010,0.072,0,31419,"Middle East and Northern Africa"
"Sri Lanka","LKA",2010,0.421,0,7844,"Asia and Pacific"
"Lesotho","LSO",2010,0.595,1,2304,"Sub-Saharan Africa"
"Lithuania","LTU",2010,0.83,1,18340,"Eastern Europe and Central Asia"
"Luxembourg","LUX",2010,0.87,1,58364,"Western Europe and North America"
"Latvia","LVA",2010,0.808,1,16847,"Eastern Europe and Central Asia"
"Morocco","MAR",2010,0.293,0,6603,"Middle East and Northern Africa"
"Moldova","MDA",2010,0.61,1,4180,"Eastern Europe and Central Asia"
"Madagascar","MDG",2010,0.226,0,1301,"Sub-Saharan Africa"
"Maldives","MDV",2010,0.6,1,NA,"Asia and Pacific"
"Mexico","MEX",2010,0.669,1,14276,"Latin America and the Caribbean"
"Macedonia","MKD",2010,0.568,1,11625,"Eastern Europe and Central Asia"
"Mali","MLI",2010,0.597,1,1591,"Sub-Saharan Africa"
"Malta","MLT",2010,0.755,1,24706,"Western Europe and North America"
"Burma/Myanmar","MMR",2010,0.122,0,3384,"Asia and Pacific"
"Montenegro","MNE",2010,0.499,NA,14536,"Eastern Europe and Central Asia"
"Mongolia","MNG",2010,0.702,1,7487,"Eastern Europe and Central Asia"
"Mozambique","MOZ",2010,0.447,0,966,"Sub-Saharan Africa"
